,soil,vegetation,water,fish,wildlife,species,air,heritage,physical,wetlands,acoustic,navigation,housekeeping
0,productivity topsoilsubsoil,buttercup,groundwater,brook stickleback,status endanger,rubus,setup,route mile,rilling,ripariancult,potential,esrd tenant,signage
1,crop growth,rare plant,fullysaturated,adhere instream,ag er,wood frog,potential,discovery,subsidence,row,part,maintain contact,post
2,topsoilsubsoil,sp mound,pouch,fn tributary,description draw,snake,equipment clean,oct oct,topsoilsubsoil,fen,traditional land,mounding,marker
3,paratille,namely,open,isolation,legend rev,wild,dust,conservation prairie,nolf nolf,functionality,noise,access,skid
4,lift tl,thistle,saturation,fish,cosewic,specie at risk,shovel compress,heritage,due snow,diversity maintain,human occupancy,mound,
5,tl tier,moderate,exhibit semisaturate,aar,wildlife,turtle,human occupancy,conservation data,contour,footprint avoidance,study,line sight,
6,tier lift,cover,flow,dryfrozen,westland resource,common yarrow,organic farm,manitoba dept,rill,health ranking,resources,contact tenant,
7,obo,community,exhibit fully,spawn,topsoil compactionrutte,common horsetail,cleaning station,source dl,ponde,dfo,therefore,quad,
8,topsoil,golden saxifrage,water,pool,topsoil salvageproc,western toad,full wash,historical,long wide,sandy droughty,variance minor,trail,
9,alleviate compaction,factor,aenv,fish habitat,trench bedrockslope,red raspberry,resources,heritage resource,drawing epp,pipe installation,acoustic environment,road,
10,reduced crop,longterm,ponding,northern pike,mammal,reindeer lichen,penetration,human occupancy,fragment,wrap,follow subsection,rollback,
11,break level,issue,cap function,amphibians,heritage andtraditional,wild strawberry,residual effect,corporation saskatchewan,debris,substrate,impact,navigation,
12,soil and soil productivity,absinthe,discharge,aquatic,edure,cinquefoil,cleaning,act clearance,course fragment,exhibit semisaturate,dust,lineofsight,
13,plant vigor,desirable,quality,white sucker,reclamation os,fowl bluegrass,prior enter,information services,resolution status,silt fence,,line of sight,
14,sampling site,acims,well aesrd,rear,,wild rye,initial secondary,district altalis,stone gravel,capacity uniform,,shoofly temporary,
15,depth,manage,submergent,nonfish bearing,,exotic,air,resources,restriction restr,swamp,,need notify,
16,discing,enhancement avoid,body,isolate trenched,,canadensis,amendment specify,branch,slope,facility city,,atv,
17,ecoregion nolf,avoid artificial,turbidity,dam pump,,canada buffaloberry,variance minor,municipality boundary,minor,apr,,qp baseline,
18,salvage procedure,seedle,surface,amphibian,,slender wheatgrass,air quality,archaeological,methodology preliminary,native blend,,prior,
19,saobo,spray,,,,slender,travel,credit,coarse fragment,fn tributary,,,
20,strip,stem,,,,beautiful sedge,prior entry,administration,slump,proper functional,,,
21,salvage,orchid,,,,rough hair,proceed,conservation,stoniness,rainbow,,,
22,compaction,specialist visit,,,,,impact,farm rehabilitation,gully,channel,,,
23,phase,mow,,,,,arrive,road network,sediment,instream,,,
24,shag topographic,observe,,,,,study,permit,ponding,green alder,,,
25,notation level,special conservation,,,,,ramp geotec,culture,microtopography,riparian,,,
26,productivity,chemical,,,,,,slope strong,physical environment,hadd,,,
27,investigation site,density,,,,,,loreburn,rut,wc,,,
28,inject,widespread,,,,,,ig iv,erosion,watercourse,,,
29,soil,occurrence,,,,,,cultural,bellhole,upstream,,,
30,warrant alleviate,per square,,,,,,mile post,landscape feature,hydrological,,,
31,unit depth,seedle planting,,,,,,historical resources,recommendation,mitig ation,,,
32,paratille pellet,control,,,,,,,excess coarse,wetland,,,
33,admixing,patch,,,,,,,visual evaluation,dennis stream,,,
34,seed mix,seed catch,,,,,,,control,downstream,,,
35,cm,unique,,,,,,,roach,bog,,,
36,soils,establishment,,,,,,,contour restoration,via uniform,,,
37,shovel resistance,rare,,,,,,,crown,applicationand planning,,,
38,bulk density,hawkweed,,,,,,,three subcategorie,native,,,
39,obvious colour,infestation,,,,,,,woody debris,limit firstyear,,,
40,admix,plain rough,,,,,,,ponding screw,facility eh,,,
41,topsoil differentiate,saraliste,,,,,,,quality quantity,contain emergent,,,
42,shovel test,air shovel,,,,,,,programs,wc wc,,,
43,physical resistance,growth,,,,,,,diversion berm,nvc,,,
44,subsoil,particularly trench,,,,,,,hillslope,tributary dennis,,,
45,topography class,line yet,,,,,,,landscape,hydrology maintain,,,
46,texture,sna exotic,,,,,,,potential adverse,healthy uniform,,,
47,degree compaction,species longer,,,,,,,contouring,capability uniform,,,
48,severe,vegetation,,,,,,,cf consistency,topsoil salvageproc,,,
49,lan gu,sweet clover,,,,,,,con slopeaspect,nonfish bearing,,,
50,gentle slope,appropriate situation,,,,,,,rutting,riparian planting,,,
51,,threat,,,,,,,screw anchor,net loss,,,
52,,decrease percent,,,,,,,data collection,crossing,,,
53,,herbicide,,,,,,,roughness,cross,,,
54,,mowed,,,,,,,follow subsection,isolate trenched,,,
55,,invasive,,,,,,,appropriately,stream,,,
56,,competitive,,,,,,,cattle exclusion,successfully emerge,,,
57,,undesirable specie,,,,,,,instability fill,bank approach,,,
58,,yellow sweet,,,,,,,,tss,,,
59,,smooth brome,,,,,,,,bank,,,
60,,undesirable,,,,,,,,sedge bulrush,,,
61,,ecological community,,,,,,,,cottonwood creek,,,
62,,treatment mound,,,,,,,,functional,,,
63,,narrow workspace,,,,,,,,epi cromer,,,
64,,shift,,,,,,,,dam pump,,,
65,,downy brome,,,,,,,,alteration,,,
66,,white cockle,,,,,,,,sm sm,,,
67,,scentless chamomile,,,,,,,,turbidity,,,
68,,prohibit noxious,,,,,,,,irrigation,,,
69,,compare offrow,,,,,,,,,,,
70,,plant,,,,,,,,,,,
71,,row,,,,,,,,,,,
72,,noxious,,,,,,,,,,,
73,,wd woody,,,,,,,,,,,
74,,common burdock,,,,,,,,,,,
75,,hand pick,,,,,,,,,,,
76,,daisy,,,,,,,,,,,
77,,nuisance,,,,,,,,,,,
78,,uncommon,,,,,,,,,,,
79,,wild buckwheat,,,,,,,,,,,
80,,establish seedling,,,,,,,,,,,
81,,ecological,,,,,,,,,,,
82,,desirable specie,,,,,,,,,,,
83,,crested wheatgrass,,,,,,,,,,,
84,,cress,,,,,,,,,,,
85,,compare,,,,,,,,,,,
86,,poa pratensis,,,,,,,,,,,
87,,andor aggressive,,,,,,,,,,,
88,,pcm failure,,,,,,,,,,,
89,,tansy,,,,,,,,,,,
90,,weed,,,,,,,,,,,
91,,monitor,,,,,,,,,,,
92,,health vigour,,,,,,,,,,,
