,soil,vegetation,water,fish,wildlife,species,air,heritage,physical,wetlands,acoustic,navigation
0,seed mix,occurrence,turbidity,fish,topsoil compactionrutte,forb,setup,heritage,repair,tributary,dust,qp baseline
1,productivity topsoilsubsoil,infestation,aenv,northern pike,heritage andtraditional,common horsetail,arrive,historical resources,contouring,facility eh,warrant alleviate,access
2,depth,rare,submergent,spawn,cosewic,canadensis,dust,manitoba dept,cattle exclusion,wc,traditional land,landowner
3,soil and soil productivity,vegetation,fullysaturated,fn tributary,con str,wild strawberry,proceed,cultural,cross drain,fish,human occupancy,line sight
4,ecoregion nolf,observe,exhibit semisaturate,amphibian,legend rev,species,human occupancy,conservation data,rill,stabilization,impact,ineffective
5,topsoilsubsoil,species longer,well aesrd,dryfrozen,reclamation os,specie at risk,forward,road network,woody debris,tss,variance minor,trail
6,unit depth,line yet,quality,sport,wildlife,specie,prior entry,historical,productivity,health ranking,risk,contact tenant
7,obo,treatment mound,discharge,white sucker,westland resource,red raspberry,construct,ig iv,topsoilsubsoil,dennis stream,follow subsection,esrd tenant
8,warrant alleviate,yellow sweet,cap function,aquatic,mammal,fowl bluegrass,air,human occupancy,fragment,substrate,part,rollback
9,degree compaction,patch,open,nonfish bearing,trench bedrockslope,beautiful sedge,travel,municipality boundary,diversion berm,bank,study,need notify
10,compaction,sweet clover,ponding,aar,description draw,slender,farm,oct oct,contour restoration,woody,resources,navigation
11,shovel resistance,density hard,surface,bear,status endanger,rubus,variance minor,conservation prairie,drawing epp,alteration,acoustic environment,atv
12,topsoil differentiate,stem,groundwater,dam pump,aic sc,wild rye,quality,heritage resource,trench crown,exhibit semisaturate,therefore,prior
13,admix,per square,pouch,fish habitat,fish fish,wild,risk,branch,dho,bed bank,habitat,mound
14,admixing,crested wheatgrass,saturation,isolation,habitat,exotic,wash,culture,aio,diversity maintain,potential,revegetation
15,paratille pellet,row,artificial,isolate trenched,special status,cinquefoil,follow subsection,archaeological,course fragment,fn tributary,special status,mounding
16,discing,control,flow,stream,edure,rough hair,heritage resource,exist,screw anchor,watercourse,plant vigor,maintain contact
17,topsoil,health vigour,water,instream,,acims,residual effect,act clearance,microtopography,net loss,,lineofsight
